egoid,usetobacco_6,usebeer_6,usewine_6,usedrugs_6,usedrugs_prescr_6,usecaffine_6
38052,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
33133,,,,,,
40021,,,,,,
27141,,,,,,
93858,,,,,,
47810,Not at all,Not at all,1-2 times a week,Not at all,Not at all,1-2 times a week
58196,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
42773,,,,,,
72152,,,,,,
76663,,,,,,
48224,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
30137,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
68318,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more
62246,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month
69496,,,,,,
61028,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Not at all
55424,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
17581,,,,,,
23576,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
57842,,,,,,
17522,,,,,,
55685,,,,,,
74079,,,,,,
97833,,,,,,
11992,,,,,,
93485,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
34402,,,,,,
62617,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
42137,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
37305,Less than 1-2 times a month,1-2 times a week,Three times a week or more,1-2 times a month,Not at all,1-2 times a month
48013,,,,,,
44447,,,,,,
14571,,,,,,
69057,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Three times a week or more
49125,,,,,,
66629,,,,,,
83542,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
18222,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
39738,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Not at all
26858,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
70552,,,,,,
38826,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week
93504,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
64232,Not at all,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Three times a week or more
37404,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more
25961,,,,,,
87330,,,,,,
92028,,,,,,
82248,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
28824,,,,,,
11482,,,,,,
69936,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
91320,,,,,,
37001,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more
70492,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
95543,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month
21380,Three times a week or more,Three times a week or more,1-2 times a week,Not at all,Not at all,Three times a week or more
67106,,,,,,
25495,,,,,,
26581,,,,,,
66642,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
83612,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
63954,,,,,,
20665,,,,,,
19122,Three times a week or more,1-2 times a week,1-2 times a month,Three times a week or more,1-2 times a month,1-2 times a month
99978,,,,,,
92566,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
39414,,,,,,
35987,1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
66655,,,,,,
10547,,,,,,
46373,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more
79341,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
19591,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
83536,,,,,,
66682,,,,,,
88337,,,,,,
67608,Not at all,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
19735,,,,,,
42513,,,,,,
64595,,,,,,
85134,,,,,,
51952,,,,,,
28837,,,,,,
46266,,,,,,
61289,,,,,,
18743,,,,,,
13647,,,,,,
59207,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
48946,,,,,,
86083,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
96613,,,,,,
49014,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
50766,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a month
