egoid,usetobacco_7,usebeer_7,usewine_7,usedrugs_7,usedrugs_prescr_7,usecaffine_7
77872,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
43114,,,,,,
72348,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
15707,,,,,,
45776,,,,,,
63122,,,,,,
27169,,,,,,
89607,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Not at all
59900,Not at all,Not at all,Three times a week or more,Not at all,Not at all,Three times a week or more
28254,,,,,,
56480,,,,,,
11128,,,,,,
47886,,,,,,
28820,,,,,,
35347,,,,,,
45641,,,,,,
25369,,,,,,
64572,,,,,,
31538,,,,,,
73452,,,,,,
51475,,,,,,
28312,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
13486,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,Less than 1-2 times a month
56805,,,,,,
57697,,,,,,
54837,,,,,,
29718,,,,,,
26800,Less than 1-2 times a month,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
60493,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
52051,,,,,,
30972,,,,,,
47142,,,,,,
69217,,,,,,
69009,,,,,,
84390,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
74845,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
90905,,,,,,
39659,,,,,,
62072,,,,,,
60396,Less than 1-2 times a month,Three times a week or more,1-2 times a month,Not at all,Not at all,Three times a week or more
61084,,,,,,
92412,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
92038,Not at all,1-2 times a week,Not at all,Not at all,Not at all,Not at all
33388,,,,,,
31717,,,,,,
18324,,,,,,
86440,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
95585,1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
29792,Less than 1-2 times a month,Three times a week or more,Three times a week or more,1-2 times a month,Not at all,Three times a week or more
14737,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
28223,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a month
85708,,,,,,
55452,,,,,,
20179,,,,,,
78339,,,,,,
23696,,,,,,
28653,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
84715,,,,,,
95559,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
30152,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
68764,,,,,,
60367,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more
36939,,,,,,
59592,Not at all,Not at all,1-2 times a month,Not at all,Not at all,1-2 times a week
22897,Less than 1-2 times a month,Three times a week or more,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Three times a week or more
89652,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
28724,,,,,,
92895,,,,,,
69831,,,,,,
59178,,,,,,
50072,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
44927,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
71894,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Three times a week or more
76790,,,,,,
78428,,,,,,
66676,Not at all,Not at all,1-2 times a month,Not at all,Not at all,1-2 times a week
95930,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
70962,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
12738,,,,,,
29647,,,,,,
27111,,,,,,
30453,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
58219,,,,,,
28377,,,,,,
80177,,,,,,
18677,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
66047,,,,,,
58682,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
81199,,,,,,
85679,,,,,,
79834,1-2 times a month,Not at all,Three times a week or more,Not at all,Not at all,Three times a week or more
93471,,,,,,
19538,,,,,,
14595,,,,,,
38052,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
33133,,,,,,
40021,,,,,,
27141,,,,,,
93858,,,,,,
47810,Not at all,Not at all,Three times a week or more,Not at all,Not at all,1-2 times a month
58196,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
42773,,,,,,
72152,,,,,,
76663,,,,,,
48224,,,,,,
30137,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
68318,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
62246,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month
69496,,,,,,
61028,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Not at all
55424,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
17581,,,,,,
23576,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
57842,,,,,,
17522,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month
55685,,,,,,
74079,,,,,,
97833,,,,,,
11992,,,,,,
93485,Not at all,1-2 times a week,Not at all,Not at all,Not at all,Not at all
34402,,,,,,
62617,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
42137,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
37305,,,,,,
48013,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
44447,,,,,,
14571,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
69057,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Three times a week or more
49125,,,,,,
66629,,,,,,
83542,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
18222,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
39738,,,,,,
26858,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
70552,,,,,,
38826,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
93504,,,,,,
64232,1-2 times a month,1-2 times a month,Three times a week or more,1-2 times a month,Not at all,Three times a week or more
37404,Not at all,Not at all,1-2 times a month,Not at all,Not at all,1-2 times a week
25961,,,,,,
87330,,,,,,
92028,,,,,,
82248,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Not at all
28824,,,,,,
11482,,,,,,
69936,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month
91320,,,,,,
37001,,,,,,
70492,Not at all,1-2 times a month,1-2 times a month,1-2 times a month,1-2 times a month,1-2 times a month
95543,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month
21380,Three times a week or more,Three times a week or more,1-2 times a month,Not at all,Not at all,Three times a week or more
67106,,,,,,
25495,,,,,,
26581,,,,,,
66642,,,,,,
83612,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more
63954,,,,,,
20665,,,,,,
19122,,,,,,
99978,Not at all,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
92566,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
39414,,,,,,
35987,,,,,,
66655,,,,,,
10547,,,,,,
46373,,,,,,
79341,,,,,,
19591,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
83536,,,,,,
66682,,,,,,
88337,,,,,,
67608,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
19735,,,,,,
42513,,,,,,
64595,,,,,,
85134,,,,,,
51952,,,,,,
28837,,,,,,
46266,,,,,,
61289,,,,,,
18743,,,,,,
13647,,,,,,
59207,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
48946,,,,,,
86083,,,,,,
96613,,,,,,
49014,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
50766,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a month
71089,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
80980,,,,,,
29115,,,,,,
98462,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
94455,,,,,,
11148,,,,,,
88384,,,,,,
60904,,,,,,
64302,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
51882,,,,,,
54200,,,,,,
